MAYV,Species,TrophicGuild,Fruit,Leaves,Flowers,Seeds,Animal,Gums,Nectar,Other,IUCN,Pop_T,BodyMass,HomeRange,X1.1_ActivityCycle,X13.1_AdultHeadBodyLen_mm,X3.1_AgeatFirstBirth_d,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X21.1_PopulationDensity_n.km2,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X16.2_LittersPerYear_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Aridity (precip/PET),BodySizeRatio (AdultBodyMass/NeonateBodyMass),RelAgeSexMat (Age at sexual maturity/maximum longevity)
0,Mico chrysoleucos,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,0.295,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60733.28,-3.51,-8.03,-5.77,-58.34,-60.52,-59.43,0,0.44,0,0.14,170.99,258.62,1453.35,1598.79,0.106949631,NA,NA
0,Mico emiliae,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160568.97,-5.54,-13.49,-9.52,-53.34,-56.05,-54.7,0,1.68,1,0.17,193.59,249.26,1291.21,1525.99,0.126861906,NA,NA
0,Mico humeralifer,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,0.42,20.9,3,NA,NA,4,NA,1,0.1,0.13,NA,NA,180,34.5,28.32,NA,8.5,2,2,99.01,NA,129628,-2.27,-8.45,-5.36,-55.4,-60.5,-57.95,0,1.68,0,0.12,163.67,258.66,1433.66,1605.81,0.10192364,0.012173913,NA
0,Mico intermedius,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,D,0.325,25.17,3,NA,NA,NA,NA,NA,0.19,NA,NA,2,NA,NA,19.97,NA,11.5,NA,NA,NA,NA,73178.5,-4.13,-11.95,-8.04,-59.01,-60.88,-59.95,0,0.39,0,0.53,179.43,249.52,1334.37,1536.27,0.116795876,NA,NA
0,Mico leucippe,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,VU,D,0.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14616.07,-3.85,-5.41,-4.63,-55.11,-56.36,-55.73,1,1.5,1,0.16,171.99,251.2,1381.69,1571.6,0.109436243,NA,NA
0,Mico marcai,NA,NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44500.24,-7.83,-12.06,-9.95,-59.48,-60.83,-60.16,0,0.77,0,0.64,183.11,243.87,1244.72,1492.05,0.122723769,NA,NA
0,Mico mauesi,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,S,0.37,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2038.88,-2.95,-3.45,-3.2,-56.56,-57.05,-56.81,3,5.75,3,0.14,143.49,261,1431.24,1643.5,0.087307575,NA,NA
0,Mico melanurus,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,0.22,221.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543620.62,-8.59,-19.88,-14.23,-53.2,-65.04,-59.12,0,4.24,0,0.22,126.64,243.35,1166.8,1423.6,0.088957572,NA,NA
0,Mico nigriceps,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,DD,NA,0.38,NA,3,NA,NA,4,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,24958.88,-6.18,-8.8,-7.49,-61.41,-62.77,-62.09,0,1.33,0,0.12,181.98,256.61,1417.38,1586.97,0.114671355,NA,NA
0,Mico saterei,Omnivore,NA,NA,NA,NA,NA,NA,NA,NA,LC,NA,0.44,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18742.81,-3.94,-6.34,-5.14,-58.04,-59.64,-58.84,0,0.75,0,0.16,164.67,260.68,1454.2,1609.58,0.102306192,NA,NA
